Id,SalePrice
1461.0,124961.19265741957
1462.0,155634.43176358478
1463.0,188742.75098360935
1464.0,200193.27446366608
1465.0,190192.4612168257
1466.0,168811.50119056305
1467.0,166766.42627492957
1468.0,168156.47873728766
1469.0,178152.63910810827
1470.0,134898.93012598227
1471.0,186743.10475360855
1472.0,92425.67809522928
1473.0,95435.74041576113
1474.0,147589.581825212
1475.0,116797.97616281007
1476.0,363594.68097722635
1477.0,260533.13032201392
1478.0,303939.98145742394
1479.0,270657.12625448016
1480.0,427503.3897748888
1481.0,320672.49685827823
1482.0,205309.0627962769
1483.0,175234.10372947637
1484.0,168416.90401600985
1485.0,177603.99519146644
1486.0,196726.6021018663
1487.0,315588.78175972967
1488.0,219526.99358339517
1489.0,202360.17916262845
1490.0,236473.56966284933
1491.0,192571.44298471315
1492.0,88079.5229687574
1493.0,202499.61073794455
1494.0,295317.2653880539
1495.0,282209.4122987896
1496.0,247870.11859161503
1497.0,174135.5441531955
1498.0,163325.66590774592
1499.0,162617.80088979937
1500.0,157291.45133391215
1501.0,171996.1408166091
1502.0,143239.83723798746
1503.0,301974.4780289878
1504.0,233587.16322661354
1505.0,226786.31687497918
1506.0,190984.3831066497
1507.0,262262.84998163284
1508.0,193491.86338035014
1509.0,161555.1397194227
1510.0,151684.6729394079
1511.0,147423.18738803625
1512.0,158526.72002546903
1513.0,133809.69120862643
1514.0,167051.56366090672
1515.0,191388.90833862813
1516.0,140809.6076830501
1517.0,149588.91673342983
1518.0,132815.88573471128
1519.0,227364.39393924756
1520.0,140128.3322987488
1521.0,140758.69760868544
1522.0,169958.15381648188
1523.0,113976.52899475452
1524.0,110783.9372982906
1525.0,120612.92186563085
1526.0,111291.92874347394
1527.0,99039.60256664969
1528.0,127691.45198629067
1529.0,158338.41918652153
1530.0,158419.9944679286
1531.0,122994.84432891732
1532.0,82808.54188528674
1533.0,157374.44887487017
1534.0,118788.62302738652
1535.0,156272.0456186855
1536.0,105917.3680161665
1537.0,62350.88282400923
1538.0,167891.75649586236
1539.0,205140.41781370537
1540.0,96128.51394921924
1541.0,147934.3407812961
1542.0,139120.24415594284
1543.0,208730.65162232256
1544.0,78755.50683826224
1545.0,108298.63531678345
1546.0,133064.20538487702
1547.0,148042.9751853072
1548.0,136449.69618445166
1549.0,112342.77028345161
1550.0,147590.30280496707
1551.0,109258.58847045727
1552.0,162049.98961581316
1553.0,145292.43782871088
1554.0,116078.79551727469
1555.0,168823.98447213275
1556.0,77910.49081757924
1557.0,114686.85063074113
1558.0,102706.34102033365
1559.0,85123.35685591656
1560.0,129501.07919393863
1561.0,146184.46164179774
1562.0,123710.30629120962
1563.0,121979.0884259622
1564.0,150458.0652704288
1565.0,148221.39252717097
1566.0,230099.02143844825
1567.0,67223.02637224228
1568.0,227487.4688689513
1569.0,148130.3557604752
1570.0,142123.928555791
1571.0,120292.85777704847
1572.0,147873.7069806222
1573.0,246119.5012516792
1574.0,107973.17292814059
1575.0,227767.66506568354
1576.0,249454.10488152073
1577.0,197803.3010462256
1578.0,147873.04243466724
1579.0,146132.28967003225
1580.0,190277.07477027772
1581.0,148880.27467207547
